company,end_date,location,salary,title,url
ASERTIVA CONSULTING,Actualizado hace 6 horas,"Miraflores, Lima",2025,Practicante de Entrenamiento Comercial,https://www.bumeran.com.pe/empleos/practicante-de-entrenamiento-comercial-asertiva-consulting-1116829631.html
Confidencial,Actualizado hace 5 horas,"Villa El Salvador, Lima",2025,Practicante Profesional de Producción,https://www.bumeran.com.pe/empleos/practicante-profesional-de-produccion-1116829096.html
INDRA PERU,Actualizado hace 8 horas,"San Isidro, Lima",2025,Practicante Profesional RRHH,https://www.bumeran.com.pe/empleos/practicante-profesional-rrhh-indra-peru-1116828330.html
MODASA,Publicado ayer,"Lurín, Lima",2025,Practicante de Ingeniería de Procesos,https://www.bumeran.com.pe/empleos/practicante-de-ingenieria-de-procesos-modasa-1116828096.html
Secure Soft,Actualizado hace 1 hora,"Santiago de Surco, Lima",2025,Practicante de Ingeniería TI - Ciberseguridad,https://www.bumeran.com.pe/empleos/practicante-de-ingenieria-ti-ciberseguridad-secure-soft-1116826944.html
OBRASCON HUARTE LAIN SA SUCURSAL DEL PERU,Actualizado hace 6 horas,"Miraflores, Lima",2025,Practicante Pro de Sistemas,https://www.bumeran.com.pe/empleos/practicante-pro-de-sistemas-obrascon-huarte-lain-sa-sucursal-del-peru-1116826943.html
LABORATORIOS ELIFARMA S.A.,Publicado ayer,"Ate, Lima",2025,Practicante de Estrategia y Proyectos,https://www.bumeran.com.pe/empleos/practicante-de-estrategia-y-proyectos-laboratorios-elifarma-s.a.-1116826761.html
CANVIA,Actualizado hace 7 horas,"Lima, Lima",2025,Practicante profesional TI (monitoreo),https://www.bumeran.com.pe/empleos/practicante-profesional-ti-monitoreo-canvia-1116826170.html
Compañia Minera Antamina,Actualizado ayer,"Surco, Lima",2025,Practicante de Tráfico Marítimo,https://www.bumeran.com.pe/empleos/practicante-de-trafico-maritimo-compania-minera-antamina-1116825320.html
Crecer Seguros,Publicado ayer,"San Isidro, Lima",2025,Practicante de Unidad de Negocio,https://www.bumeran.com.pe/empleos/practicante-de-unidad-de-negocio-crecer-seguros-1116745666.html
TECSUR.S.A,Publicado ayer,"San Juan de Miraflores, Lima",2025,Practicante Profesional - Logística,https://www.bumeran.com.pe/empleos/practicante-profesional-logistica-tecsur.s.a-1116830626.html
Aspiratek,Publicado ayer,"Miraflores, Lima",2025,Practicante de Área Legal,https://www.bumeran.com.pe/empleos/practicante-de-area-legal-aspiratek-1116787503.html
NETWORKING & CLOUD PERU,Publicado ayer,"Los Olivos, Lima",2025,PRACTICANTE DE DISEÑO GRAFICO,https://www.bumeran.com.pe/empleos/practicante-de-diseno-grafico-networking-cloud-peru-1116785748.html
Mibanco,Publicado hace 2 días,"Surquillo, Lima",2025,Practicante Oficina de Tranformación,https://www.bumeran.com.pe/empleos/practicante-oficina-de-tranformacion-mibanco-1116818858.html
MITSUI AUTOMOTRIZ S.A.,Actualizado ayer,"La Molina, Lima",2025,Practicante Profesional Administrativo,https://www.bumeran.com.pe/empleos/practicante-profesional-administrativo-mitsui-automotriz-s.a.-1116818694.html
Grupo Gloria,Actualizado ayer,"Lima, Lima",2025,Practicante Profesional de Mantenimiento,https://www.bumeran.com.pe/empleos/practicante-profesional-de-mantenimiento-grupo-gloria-1116818493.html
